Date,Open,High,Low,Close,Volume,Market Cap
Feb-01-2021,33082.84377,34599.99767,32402.29413,33513.4412,89774569869,6.2717E+11
Jan-31-2021,34275.23155,34275.23155,32213.31833,33136.13947,79168365015,6.22243E+11
Jan-30-2021,34309.76665,34823.46647,33037.98619,34333.10794,1.44056E+11,6.33604E+11
Jan-29-2021,33332.49175,38320.82553,32011.6803,34241.18685,1.52371E+11,6.51331E+11
Jan-28-2021,30400.93093,33755.54937,29932.9088,33117.57284,1.02592E+11,5.90627E+11
Jan-27-2021,32503.85599,32503.85599,29329.89144,30305.34378,90755198572,5.7889E+11
Jan-26-2021,32305.89887,32773.46565,31013.71446,32577.7687,94141056518,5.94982E+11
Jan-25-2021,32224.50869,34818.219,32130.6572,32272.78384,85932342667,6.20636E+11
Jan-24-2021,32081.01895,32941.58032,31122.25307,32261.74435,71915450466,5.99252E+11
Jan-23-2021,32976.47214,33293.43394,31464.56845,32045.83959,92468003470,6.01514E+11
Jan-22-2021,30838.19901,33800.9618,28997.51282,32836.13558,1.39223E+11,5.92458E+11
Jan-21-2021,35477.52446,35477.52446,30202.76234,30892.80236,1.04278E+11,6.13606E+11
Jan-20-2021,36002.59435,36371.0939,33593.67187,35636.11099,98186705206,6.53841E+11
Jan-19-2021,36632.31818,37701.57868,36163.74098,36177.48749,94696323433,6.85128E+11
Jan-18-2021,35822.52992,37365.98473,34840.49216,36714.8432,85952054615,6.70424E+11
Jan-17-2021,36061.52374,36682.76063,34095.16918,35786.41703,92863643157,6.63271E+11
Jan-16-2021,36833.61358,37910.76421,35624.47869,36178.18021,1.23694E+11,6.85154E+11
Jan-15-2021,39280.29844,39645.49912,34599.96835,36678.9504,1.17305E+11,6.97437E+11
Jan-14-2021,37394.12264,40000.01421,36882.02799,39304.68621,1.14932E+11,7.16638E+11
Jan-13-2021,34060.12932,37626.12656,32445.498,37359.33216,1.26175E+11,6.45089E+11
Jan-12-2021,35549.97125,36524.89202,32957.84676,33949.39683,1.76865E+11,6.4809E+11
Jan-11-2021,38223.37371,38223.37371,30592.25526,35569.7227,1.82855E+11,6.38127E+11
Jan-10-2021,40083.81722,41255.9792,35933.66182,38299.0196,1.07609E+11,7.37716E+11
Jan-09-2021,40577.81004,41291.46597,38819.67009,40129.0005,1.34583E+11,7.49904E+11
Jan-08-2021,39437.44034,41849.9064,36711.86222,40703.29054,1.72295E+11,7.395E+11
Jan-07-2021,36814.68197,40164.159,36345.63577,39493.12851,1.41293E+11,7.06529E+11
Jan-06-2021,33895.70191,36904.21825,33315.06731,36904.21825,1.20557E+11,6.4692E+11
Jan-05-2021,32023.29343,34359.99007,30087.20186,33965.16042,1.25426E+11,5.98928E+11
Jan-04-2021,32949.39946,33553.45055,29066.66544,31973.83215,1.30918E+11,5.91804E+11
Jan-03-2021,32148.0485,34717.66274,32057.58296,32877.60728,1.2435E+11,6.21795E+11
Jan-02-2021,29329.69577,33158.61244,29014.29588,32093.26496,70104243266,5.70431E+11
Jan-01-2021,28938.89689,29560.02755,28718.62179,29300.19094,64558591252,5.4299E+11
Dec-31-2020,28863.19167,29272.57805,27986.65215,28977.96182,79271345826,5.36315E+11
Dec-30-2020,27375.34582,28938.01888,27375.34582,28810.02049,73712221377,5.23105E+11
Dec-29-2020,27070.01978,27392.54055,26077.26994,27392.54055,68162303669,4.96188E+11
Dec-28-2020,26269.00968,27431.9044,26111.95779,27147.36675,99495188799,5.01663E+11
Dec-27-2020,26463.42639,28331.09273,26011.66035,26326.48184,1.02568E+11,5.03085E+11
Dec-26-2020,24700.99134,26698.36729,24519.99043,26446.97357,68174322705,4.69619E+11
Dec-25-2020,23719.23706,24715.0783,23463.62621,24652.03652,57592757107,4.46376E+11
Dec-24-2020,23248.20381,23749.0147,22751.92602,23733.03049,74435058819,4.31381E+11
Dec-23-2020,23816.03788,24011.06862,22789.24469,23261.7852,72103119537,4.37387E+11
Dec-22-2020,22743.91142,23801.64017,22446.74738,23801.64017,83963380723,4.28963E+11
Dec-21-2020,23488.41548,24065.5178,22119.29953,22882.15792,85145371413,4.32069E+11
Dec-20-2020,23859.67211,24249.9572,23101.0989,23516.40283,71034858155,4.38084E+11
Dec-19-2020,23131.0446,24077.49414,22830.89779,23844.56807,63655496242,4.33409E+11
Dec-18-2020,22796.24924,23239.69877,22397.09551,23113.99259,1.17019E+11,4.24808E+11
Dec-17-2020,21349.6567,23656.65347,21265.80118,22823.45909,1.19967E+11,4.19779E+11
Dec-16-2020,19424.01073,21395.55444,19306.67714,21367.09631,48227478063,3.72499E+11
Dec-15-2020,19273.91638,19540.78258,19086.03263,19434.07031,37207256823,3.59263E+11
Dec-14-2020,19181.39628,19346.86037,19021.82978,19270.74681,35594491141,3.559E+11
Dec-13-2020,18795.23977,19393.31475,18719.95839,19169.33845,36129560661,3.54909E+11
Dec-12-2020,18017.34873,18905.25987,18017.34873,18804.79471,37864610631,3.42883E+11
Dec-11-2020,18236.77637,18236.77637,17604.05012,18062.11899,51456006610,3.33126E+11
Dec-10-2020,18541.85465,18541.85465,17939.98172,18261.87845,42051607215,3.39862E+11
Dec-09-2020,18328.89177,18624.6332,17656.94346,18569.9877,51894238233,3.39169E+11
Dec-08-2020,19169.81602,19268.37765,18279.48821,18325.0542,36072867924,3.51716E+11
Dec-07-2020,19363.53182,19403.80315,18940.87191,19190.03778,33514897153,3.56358E+11
Dec-06-2020,19153.42124,19374.85139,18891.56777,19336.69255,31248872995,3.55303E+11
Dec-05-2020,18660.48621,19167.43332,18560.02988,19127.65682,43493402327,3.52394E+11
Dec-04-2020,19430.84842,19510.63995,18643.37027,18737.19266,42711852977,3.54653E+11
Dec-03-2020,19217.92308,19587.14569,18909.02757,19427.95496,45460478690,3.57548E+11
Dec-02-2020,18756.50965,19330.50818,18356.07531,19201.27613,64736169957,3.51583E+11
Dec-01-2020,19692.23392,19877.36832,18338.56035,18855.04374,68651048241,3.57419E+11
Nov-30-2020,18181.6152,19802.67892,18181.6152,19721.87473,47907519458,3.50768E+11
Nov-29-2020,17725.68644,18309.85198,17549.51548,18162.12347,39169112135,3.33623E+11
Nov-28-2020,17133.44114,17846.94377,16877.45153,17707.71579,40948231070,3.2096E+11
Nov-27-2020,17157.38411,17419.95808,16487.30151,17076.84202,66090936295,3.15076E+11
Nov-26-2020,18736.04887,18911.14877,16290.95338,17072.81034,76574550474,3.22683E+11
Nov-25-2020,19151.45251,19461.56864,18547.97903,18770.2021,66020446070,3.53357E+11
Nov-24-2020,18383.26053,19412.4943,18042.08297,19121.51141,65582487334,3.49607E+11
Nov-23-2020,18400.41621,18750.75866,18032.68421,18374.45258,56013957456,3.41944E+11
Nov-22-2020,18673.99047,18740.8989,17648.89881,18413.52697,51842917681,3.4172E+11
Nov-21-2020,18665.4742,18956.34315,18478.41652,18709.05738,51342425636,3.4681E+11
Nov-20-2020,17799.98188,18798.61459,17763.98855,18641.28503,51247577104,3.39782E+11
Nov-19-2020,17769.0811,18139.03618,17395.28235,17806.27692,61088362076,3.3066E+11
Nov-18-2020,17664.95164,18475.03514,17395.81176,17827.83915,72012568911,3.3142E+11
Nov-17-2020,16703.98098,17829.76472,16577.52509,17683.75928,45999622881,3.16503E+11
Nov-16-2020,15948.49268,16842.98402,15884.87538,16725.11073,32816346806,3.03249E+11
Nov-15-2020,16068.09817,16131.79857,15796.54344,15961.34579,31319340855,2.96297E+11
